[38;5;4mℹ Saving to output directory: .[0m
[38;5;4mℹ Using CPU[0m
[38;5;4mℹ To switch to GPU 0, use the option: --gpu-id 0[0m
[1m
=========================== Initializing pipeline ===========================[0m
[38;5;2m✔ Initialized pipeline[0m
[1m
============================= Training pipeline =============================[0m
[38;5;4mℹ Pipeline: ['tok2vec', 'ner'][0m
[38;5;4mℹ Initial learn rate: 0.001[0m
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     95.20   71.32   70.04   72.66    0.71
  0     100         51.63   2940.36   86.34   86.23   86.44    0.86
  0     200        108.86   1655.81   90.05   91.23   88.91    0.90
  0     300        153.81   1535.05   92.39   92.49   92.29    0.92
  0     400        128.42   1432.26   93.19   93.19   93.18    0.93
  0     500        164.77   1363.05   94.73   94.81   94.65    0.95
  0     600        197.78   1388.31   94.99   94.96   95.02    0.95
  0     700        199.15   1459.71   95.59   95.60   95.59    0.96
  0     800        228.82   1521.03   95.62   95.64   95.61    0.96
  0     900        237.27   1552.17   96.07   96.10   96.03    0.96
  0    1000        281.11   1709.18   95.49   95.49   95.49    0.95
  0    1100        284.77   1880.43   96.35   96.37   96.34    0.96
  0    1200        273.24   1835.38   96.46   96.48   96.45    0.96
  0    1300        407.32   2067.76   96.70   96.71   96.70    0.97
  0    1400        375.64   1934.48   96.59   96.58   96.60    0.97
  0    1500        436.01   2197.63   96.74   96.75   96.74    0.97
  0    1600        498.87   2445.36   96.88   96.88   96.87    0.97
  0    1700        443.67   2477.85   97.10   97.11   97.10    0.97
  0    1800        468.72   2584.16   97.06   97.05   97.07    0.97
  0    1900        580.43   2982.93   97.03   97.03   97.03    0.97
  0    2000        598.67   3164.04   97.23   97.23   97.23    0.97
  0    2100        662.64   3310.66   97.33   97.34   97.33    0.97
  0    2200        774.45   3653.69   97.33   97.33   97.34    0.97
  0    2300        805.87   3804.52   97.36   97.37   97.35    0.97
  0    2400        825.78   3705.66   97.39   97.39   97.39    0.97
  0    2500        982.94   3945.21   97.53   97.53   97.52    0.98
  0    2600        949.74   4024.70   97.49   97.49   97.48    0.97
  0    2700        807.49   3635.51   97.59   97.60   97.58    0.98
  0    2800        837.30   3524.87   97.61   97.61   97.61    0.98
  0    2900        840.30   3562.61   97.62   97.61   97.62    0.98
  0    3000        851.08   3552.77   97.60   97.60   97.60    0.98
  0    3100        800.26   3418.11   97.65   97.65   97.64    0.98
  0    3200        789.85   3234.09   97.57   97.58   97.56    0.98
  0    3300        855.13   3324.53   97.55   97.55   97.54    0.98
  0    3400        805.16   3198.23   97.71   97.71   97.70    0.98
  0    3500        985.98   3317.03   97.71   97.72   97.71    0.98
  0    3600        841.21   3271.88   97.70   97.70   97.70    0.98
  0    3700        866.33   3074.93   97.72   97.72   97.71    0.98
  0    3800        957.67   3276.78   97.71   97.72   97.71    0.98
  0    3900        891.47   3214.06   97.78   97.79   97.77    0.98
  0    4000        832.62   3061.21   97.77   97.78   97.76    0.98
  0    4100        886.92   3151.17   97.82   97.83   97.81    0.98
  0    4200        917.92   3088.65   97.78   97.78   97.77    0.98
  0    4300        885.79   2933.06   97.80   97.80   97.80    0.98
  0    4400        974.09   3005.90   97.80   97.80   97.79    0.98
  0    4500        953.97   3006.48   97.80   97.81   97.80    0.98
  0    4600        944.93   2904.27   97.87   97.87   97.86    0.98
  0    4700        821.98   2699.29   97.85   97.86   97.85    0.98
  1    4800        961.52   2888.56   97.81   97.82   97.81    0.98
  1    4900        937.79   2657.03   97.74   97.74   97.73    0.98
  1    5000        849.75   2595.76   97.84   97.85   97.84    0.98
  1    5100        970.77   2789.14   97.83   97.84   97.83    0.98
  1    5200        892.93   2521.11   97.87   97.88   97.87    0.98
  1    5300        928.37   2493.62   97.85   97.85   97.85    0.98
  1    5400        871.07   2518.51   97.88   97.89   97.87    0.98
  1    5500        981.69   2540.36   97.87   97.87   97.87    0.98
  1    5600        890.22   2541.49   97.86   97.86   97.85    0.98
  1    5700        915.47   2453.92   97.91   97.92   97.90    0.98
  1    5800        999.26   2353.38   97.89   97.89   97.89    0.98
  1    5900        978.96   2305.00   97.91   97.91   97.90    0.98
  1    6000       1119.67   2490.41   97.85   97.86   97.85    0.98
  1    6100        971.39   2465.25   97.91   97.91   97.90    0.98
  1    6200       1104.12   2534.03   97.91   97.92   97.91    0.98
  1    6300       1242.31   2643.17   97.91   97.92   97.91    0.98
  1    6400        947.52   2428.15   97.91   97.92   97.91    0.98
  1    6500        994.75   2552.65   97.92   97.93   97.91    0.98
  1    6600       1123.94   2512.57   97.94   97.95   97.94    0.98
  1    6700        962.91   2352.58   97.92   97.92   97.91    0.98
  1    6800        970.70   2499.28   97.97   97.97   97.96    0.98
  1    6900       1026.06   2577.44   98.00   98.00   97.99    0.98
  1    7000        922.48   2388.94   97.96   97.97   97.96    0.98
  1    7100       1093.53   2511.39   97.90   97.91   97.90    0.98
  1    7200       1129.26   2591.05   97.93   97.94   97.93    0.98
  1    7300       1003.71   2386.59   97.89   97.89   97.89    0.98
  1    7400        968.75   2397.59   97.93   97.93   97.93    0.98
  1    7500        989.34   2227.70   97.91   97.91   97.90    0.98
  1    7600       1041.95   2407.25   97.97   97.97   97.97    0.98
  1    7700       1101.33   2443.94   97.94   97.93   97.94    0.98
  1    7800        997.74   2298.09   98.00   98.00   97.99    0.98
  1    7900       1133.90   2506.07   97.99   97.99   97.98    0.98
  1    8000       1150.44   2427.74   97.98   97.99   97.98    0.98
  1    8100        953.83   2235.67   97.97   97.98   97.97    0.98
  2    8200       1003.30   2094.64   97.98   97.99   97.98    0.98
  2    8300        927.28   1917.44   97.98   97.98   97.97    0.98
  2    8400        956.24   1989.14   97.96   97.97   97.96    0.98
  2    8500       1047.17   1979.90   97.95   97.96   97.95    0.98
[38;5;2m✔ Saved pipeline to output directory[0m
model-last
